SOURCE,PROFID,POLID,SPCID,SPLITFAC,DIVISOR,MASSFRAC
BLD/CONVP,92020.0,PM2_5,POC,0.0462,1.0,0.0462
BLD/CONVP,92020.0,PM2_5,PNH4,0.000672,1.0,0.000672
BLD/CONVP,92020.0,PM2_5,PNO3,0.000365,1.0,0.000365
BLD/CONVP,92020.0,PM2_5,PSO4,0.0105,1.0,0.0105
BLD/CONVP,92020.0,PM2_5,PNCOM,0.0185,1.0,0.0185
BLD/CONVP,92020.0,PM2_5,PH2O,0.00268,1.0,0.00268
BLD/CONVP,92020.0,PM2_5,PAL,0.0368,1.0,0.0368
BLD/CONVP,92020.0,PM2_5,PSI,0.115,1.0,0.115
BLD/CONVP,92020.0,PM2_5,PCL,0.000485,1.0,0.000485
BLD/CONVP,92020.0,PM2_5,PK,0.0149,1.0,0.0149
BLD/CONVP,92020.0,PM2_5,PCA,0.091,1.0,0.091
BLD/CONVP,92020.0,PM2_5,PTI,0.00355,1.0,0.00355
BLD/CONVP,92020.0,PM2_5,PMN,0.00105,1.0,0.00105
BLD/CONVP,92020.0,PM2_5,PFE,0.0351,1.0,0.0351
BLD/CONVP,92020.0,PM2_5,PMOTHR,0.623198,1.0,0.623198
